#Point ID; Cross section heading stationing[m]; Measurement point type; Location code; Date; Time; Value[m]; Zero Flag; Err Flag; Remark; Delta[mm]
M1-M2_D; 38.00000000; Convergence; 12; 02.12.2022; 12:00:00; 2.29504549; 0; 0; ; 1.59828739
M1-M3_D; 38.00000000; Convergence; 13; 02.12.2022; 12:00:00; 2.34358413; 0; 0; ; -2.02133221
M1-M4_A; 10.00000000; Convergence; 14; 22.08.2022; 10:00:00; 5.37285514; 0; 0; ; -1.77391746
M1-M4_B; 23.00000000; Convergence; 14; 02.12.2022; 12:00:00; 5.32750328; 0; 0; ; -3.38231600
M1-M4_C; 36.00000000; Convergence; 14; 02.12.2022; 12:00:00; 6.10485082; 0; 0; ; -7.01240970
M1-M4_D; 38.00000000; Convergence; 14; 08.07.2022; 12:00:00; 5.98769015; 0; 0; ; 1.26033146
M1-M5_A; 10.00000000; Convergence; 15; 02.12.2022; 12:00:00; 5.19257426; 0; 0; ; -0.85515664
M1-M5_B; 23.00000000; Convergence; 15; 02.12.2022; 12:00:00; 5.21171255; 0; 0; ; -4.12075102
M1-M5_C; 36.00000000; Convergence; 15; 02.12.2022; 12:00:00; 5.83745395; 0; 0; ; -3.33504344
M1-M5_D; 38.00000000; Convergence; 15; 06.07.2022; 12:00:00; 5.85740454; 0; 0; ; 1.49007921
M1-M6_A; 10.00000000; Convergence; 16; 02.12.2022; 12:00:00; 6.99210531; 0; 0; ; 0.98275401
M1-M6_B; 23.00000000; Convergence; 16; 02.12.2022; 12:00:00; 6.86167799; 0; 0; ; -2.78651284
M1-M6_C; 36.00000000; Convergence; 16; 02.12.2022; 12:00:00; 7.42138235; 0; 0; ; -0.70620782
M1-M6_D; 38.00000000; Convergence; 16; 02.12.2022; 12:00:00; 2.70120711; 0; 0; ; -0.14599190
M1-M7_A; 10.00000000; Convergence; 17; 02.12.2022; 12:00:00; 7.02552711; 0; 0; ; 0.14017098
M1-M7_B; 23.00000000; Convergence; 17; 02.12.2022; 12:00:00; 6.82547327; 0; 0; ; -1.13700410
M1-M7_C; 36.00000000; Convergence; 17; 02.12.2022; 12:00:00; 7.14375574; 0; 0; ; -4.55457810
M2-M3_A; 10.00000000; Convergence; 23; 02.12.2022; 12:00:00; 5.56914149; 0; 0; ; -12.27497325
M2-M3_B; 23.00000000; Convergence; 23; 02.12.2022; 12:00:00; 5.68600143; 0; 0; ; -1.15887569
M2-M3_C; 36.00000000; Convergence; 23; 02.12.2022; 12:00:00; 5.89800176; 0; 0; ; 1.72139422
M2-M3_D; 38.00000000; Convergence; 23; 02.12.2022; 12:00:00; 3.95424905; 0; 0; ; -1.07583039
M2-M5_A; 10.00000000; Convergence; 25; 02.12.2022; 12:00:00; 6.76527959; 0; 0; ; -10.62012009
M2-M5_B; 23.00000000; Convergence; 25; 02.12.2022; 12:00:00; 6.90120216; 0; 0; ; -4.59616198
M2-M5_C; 36.00000000; Convergence; 25; 02.12.2022; 12:00:00; 7.55618761; 0; 0; ; 2.54092529
M2-M5_D; 38.00000000; Convergence; 25; 06.07.2022; 12:00:00; 5.93749957; 0; 0; ; 1.06972592
M2-M6_D; 38.00000000; Convergence; 26; 02.12.2022; 12:00:00; 2.38010395; 0; 0; ; -0.04446821
M3-M4_A; 10.00000000; Convergence; 34; 22.08.2022; 10:00:00; 6.91355383; 0; 0; ; -8.38599062
M3-M4_B; 23.00000000; Convergence; 34; 02.12.2022; 12:00:00; 6.90774325; 0; 0; ; -5.42458516
M3-M4_C; 36.00000000; Convergence; 34; 02.12.2022; 12:00:00; 7.57258463; 0; 0; ; -3.47572763
M3-M4_D; 38.00000000; Convergence; 34; 08.07.2022; 12:00:00; 6.15665741; 0; 0; ; 1.33265765
M3-M6_D; 38.00000000; Convergence; 36; 02.12.2022; 12:00:00; 2.58168327; 0; 0; ; -1.30643511
M4-M5_A; 10.00000000; Convergence; 45; 22.08.2022; 10:00:00; 7.28681976; 0; 0; ; -12.21926131
M4-M5_B; 23.00000000; Convergence; 45; 02.12.2022; 12:00:00; 7.31863482; 0; 0; ; -9.10137392
M4-M5_C; 36.00000000; Convergence; 45; 02.12.2022; 12:00:00; 7.96626841; 0; 0; ; -0.08125262
M4-M5_D; 38.00000000; Convergence; 45; 06.07.2022; 12:00:00; 4.49497107; 0; 0; ; 0.38252026
M6-M7_A; 10.00000000; Convergence; 67; 02.12.2022; 12:00:00; 6.30237808; 0; 0; ; -4.18178225
M6-M7_B; 23.00000000; Convergence; 67; 02.12.2022; 12:00:00; 6.51244144; 0; 0; ; -2.26515461
M6-M7_C; 36.00000000; Convergence; 67; 02.12.2022; 12:00:00; 7.10978167; 0; 0; ; -0.33551036
